Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,088123,2013,09,90.8,Y
IDCJAC0001,088123,2013,10,65.8,Y
IDCJAC0001,088123,2013,11,28.8,Y
IDCJAC0001,088123,2013,12,26.4,Y
IDCJAC0001,088123,2014,01,23.2,Y
IDCJAC0001,088123,2014,02,11.2,Y
IDCJAC0001,088123,2014,03,51.0,Y
IDCJAC0001,088123,2014,04,59.0,Y
IDCJAC0001,088123,2014,05,39.0,Y
IDCJAC0001,088123,2014,06,113.4,Y
IDCJAC0001,088123,2014,07,78.6,Y
IDCJAC0001,088123,2014,08,24.4,Y
IDCJAC0001,088123,2014,09,44.6,Y
IDCJAC0001,088123,2014,10,29.4,Y
IDCJAC0001,088123,2014,11,37.6,Y
IDCJAC0001,088123,2014,12,19.0,Y
IDCJAC0001,088123,2015,01,55.6,Y
IDCJAC0001,088123,2015,02,37.6,Y
IDCJAC0001,088123,2015,03,24.6,Y
IDCJAC0001,088123,2015,04,24.4,Y
IDCJAC0001,088123,2015,05,65.0,Y
IDCJAC0001,088123,2015,06,28.0,Y
IDCJAC0001,088123,2015,07,80.0,Y
IDCJAC0001,088123,2015,08,33.2,Y
IDCJAC0001,088123,2015,09,41.6,Y
IDCJAC0001,088123,2015,11,48.8,Y
IDCJAC0001,088123,2015,12,31.8,Y
IDCJAC0001,088123,2016,01,37.2,Y
IDCJAC0001,088123,2016,02,13.2,Y
IDCJAC0001,088123,2016,03,41.9,Y
IDCJAC0001,088123,2016,04,36.2,Y
IDCJAC0001,088123,2016,05,114.0,Y
IDCJAC0001,088123,2016,06,92.6,Y
IDCJAC0001,088123,2016,07,140.2,Y
IDCJAC0001,088123,2016,08,84.8,Y
IDCJAC0001,088123,2016,09,186.8,Y
IDCJAC0001,088123,2016,10,105.8,Y
IDCJAC0001,088123,2016,11,51.8,Y
IDCJAC0001,088123,2016,12,50.0,Y
IDCJAC0001,088123,2017,01,26.2,Y
IDCJAC0001,088123,2017,02,18.6,Y
IDCJAC0001,088123,2017,03,25.6,Y
IDCJAC0001,088123,2017,04,167.2,Y
IDCJAC0001,088123,2017,05,47.4,Y
IDCJAC0001,088123,2017,06,10.2,Y
IDCJAC0001,088123,2017,07,66.8,Y
IDCJAC0001,088123,2017,08,100.2,Y
